,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5372,Cote de Pablo,1,26000000.0,26000000.0,27972023,27972023.0,27972023,27972023.0,-13772278.0,-13772278.0,1972023.0,1972023.0
5373,Cotter Smith,1,10000000.0,10000000.0,13041254,13041254.0,13041254,13041254.0,-2748927.0,-2748927.0,3041254.0,3041254.0
5374,Coté Soler,1,5550500.0,5550500.0,21245677,21245677.0,21245677,21245677.0,-4182381.0,-4182381.0,15695177.0,15695177.0
5375,Court Young,1,8600000.0,8600000.0,32730062,32730062.0,32730062,32730062.0,5777198.0,5777198.0,24130062.0,24130062.0
5376,Courteney Cox,6,308000000.0,51333333.333333336,619922177,103320362.83333333,619922177,103320362.83333333,29803168.0,4967194.666666667,311922177.0,51987029.5
5377,Courtney B. Vance,8,529000000.0,66125000.0,1283009098,160376137.25,1283009098,160376137.25,-155340581.0,-19417572.625,754009098.0,94251137.25
5378,Courtney Bowers,1,12000000.0,12000000.0,33213241,33213241.0,33213241,33213241.0,10348241.0,10348241.0,21213241.0,21213241.0
5379,Courtney Dietz,1,5500000.0,5500000.0,18159691,18159691.0,18159691,18159691.0,5607431.0,5607431.0,12659691.0,12659691.0
5380,Courtney Eaton,2,290000000.0,145000000.0,525906039,262953019.5,525906039,262953019.5,-104788196.0,-52394098.0,235906039.0,117953019.5
5381,Courtney Fansler,1,13000000.0,13000000.0,73983003,73983003.0,73983003,73983003.0,48705123.0,48705123.0,60983003.0,60983003.0
5382,Courtney Gains,2,54000000.0,27000000.0,216249382,108124691.0,216249382,108124691.0,96463438.0,48231719.0,162249382.0,81124691.0
5383,Courtney Halverson,1,1000000.0,1000000.0,62882090,62882090.0,62882090,62882090.0,31482090.0,31482090.0,61882090.0,61882090.0
5384,Courtney Henggeler,1,35000000.0,35000000.0,149542245,149542245.0,149542245,149542245.0,20802754.0,20802754.0,114542245.0,114542245.0
5385,Courtney James Clark,1,25000000.0,25000000.0,99357138,99357138.0,99357138,99357138.0,35457138.0,35457138.0,74357138.0,74357138.0
5386,Courtney Jines,2,52000000.0,26000000.0,230691105,115345552.5,230691105,115345552.5,92409024.0,46204512.0,178691105.0,89345552.5
5387,Courtney Lauren Cummings,1,35000000.0,35000000.0,93320380,93320380.0,93320380,93320380.0,11700633.0,11700633.0,58320380.0,58320380.0
5388,Courtney Love,1,30000000.0,30000000.0,13414416,13414416.0,13414416,13414416.0,-22926749.0,-22926749.0,-16585584.0,-16585584.0
5389,Courtney Platt,1,15000000.0,15000000.0,5072654,5072654.0,5072654,5072654.0,-11689969.0,-11689969.0,-9927346.0,-9927346.0
5390,Courtney Tailor,1,10000000.0,10000000.0,4644472,4644472.0,4644472,4644472.0,-6599722.0,-6599722.0,-5355528.0,-5355528.0
5391,Courtney Taylor Burness,2,26500000.0,13250000.0,123620336,61810168.0,123620336,61810168.0,46146113.0,23073056.5,97120336.0,48560168.0
5392,Courtney Williams,1,85000000.0,85000000.0,340487652,340487652.0,340487652,340487652.0,42807262.0,42807262.0,255487652.0,255487652.0
5393,Cozi Zuehlsdorff,1,37000000.0,37000000.0,95943453,95943453.0,95943453,95943453.0,35286779.0,35286779.0,58943453.0,58943453.0
